,Crop type,Harvest date (Y-M-D),Harvest date (step),Yield (t/ha),Seasonal irrigation (mm),Rainfall (mm/ha),ET (mm/ha),SMT (%TAW),Year,Profit ($/ha),rainfed_yield (tonne/ha),irrigated_yield (tonne/ha),WP (kg/mm)
0,Maize,2015-09-10,251,13.63056453958285,75.0,334.95,507.7167923593964,50,2015,654.5016171249126,13.610671851836903,13.63056453958285,0.00026523583661261323
1,Maize,2016-09-10,617,13.873583392484889,125.0,470.84,538.2193892325756,50,2016,648.2450106472802,12.06112510093306,13.873583392484889,0.014499666332414634
2,Maize,2015-09-10,251,13.630084059382943,118.82926326164687,334.95,522.0754176782658,55,2015,610.5858674272831,,13.630084059382943,0.0
3,Maize,2016-09-10,617,13.880682582530318,150.0,470.84,539.8012568154035,55,2016,624.5228648554571,,13.880682582530318,0.0
4,Maize,2015-09-10,251,13.6226061169095,143.82926326164687,334.95,522.2490735130903,60,2015,584.2398377820632,,13.6226061169095,0.0
5,Maize,2016-09-10,617,13.947442774873046,171.803611155707,470.84,560.7866576492103,60,2016,614.736088321441,,13.947442774873046,0.0
6,Maize,2015-09-10,251,13.650294334361156,164.29499444770852,334.95,527.596147682946,65,2015,568.7579857372994,,13.650294334361156,0.0
7,Maize,2016-09-10,617,13.928563780616834,191.2844267320053,470.84,560.5321027532524,65,2016,591.8570537790251,,13.928563780616834,0.0
8,Maize,2015-09-10,251,13.685941278190263,199.96042757469792,334.95,544.5850695008938,70,2015,539.5090024995498,,13.685941278190263,0.0
9,Maize,2016-09-10,617,13.96904854495321,234.64128289455786,470.84,575.9933345331277,70,2016,555.7874551970203,,13.96904854495321,0.0
